"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"APOC1" 1.32164619610219 1.31333331687087 1.43782586398325 1.33045424869665 1.82248909400598 0.878440073743058 1.50146986937001 1.53769541575674 1.8117702656899 1.2954515716679 1.12220280630105 1.17747240543035 1.41556029226313 1.29165794186186 1.76865791840955
"APOE" 1.59850723332751 1.25130343231764 1.75594324652292 1.09940354657836 1.01205517854019 0.480947278123759 1.58311199280663 1.2034673252872 1.23014973435709 0.8976062785025 0.430213713631355 0.54921819910077 1.39019640934755 1.04533486070767 0.635745074930089
"APOLD1" 0.256065713793373 0.143902576945312 0.0758119793484841 0.27484649096993 0.133343581912762 0.261812276824187 0.394683238529584 0.104560755114114 0.402896603830892 0.368387929647736 0.125769974653302 0.139617413058902 0.556211760825831 0.12403865502473 0
"ARHGAP18" 0.477625731099918 0.48618953318337 0.576754204429173 0.599217984287115 0.560220503575598 0.48300496897377 0.716514726215081 0.948688274854782 0.789760751090684 0.676281596467526 0.825561034463743 0.844537582468614 0.744893687592581 0.809816004412734 0.927528562969774
"ARHGAP26" 0.150978138156421 0.151802861296836 0.176775989067706 0.264756146326447 0.127928711437614 0.342385862845271 0.194914419725027 0.420866016214832 0.565056736720791 0.237250250985781 0.199949197821104 0.179593463143182 0.264873599104498 0.468817579945493 0.0124250718806985
"ARHGDIB" 0.417499052931882 0.291052950272712 0 0 0.0962277625945262 0.211477319413313 0 0 1.28795234458228 0.587595100071272 0.0967090875793647 0 0.0386468462912222 0.203621975665904 0.779519945627023
"ARHGEF10" 0.241087142291464 0.202106924880225 0.193876009090878 0.375439600190859 0.247482362687342 0.17231448332967 0.193219748680879 0.192037826545151 0.299756754998267 0.318729354672986 0.221491475947538 0.266585683653838 0.256906723374416 0.276953169060603 0.425097710006997
"ARHGEF28" 0.172544665998013 0.0527654226059019 0 0 0.203708191367845 0.317984451634012 0.906763635053047 0.572370266202786 0.269330283945187 0.397766054404403 0.291439767859627 0.222914046152785 0.34266297660163 0.243826477166317 0
"ARL17A" 0.153175436734408 0.16222204977584 0.21501715632436 0.266087456693863 0.154717576848703 0.271620248906367 0.467669666716218 0.233703630205837 0.221922148413759 0.265025262449313 0.114752903192404 0.178704604363184 0.236852532845618 0.253210651282779 0.338514320654663
"ARL4A" 0.453389765613509 0.605486768062046 0.488264654477719 0.611192196826106 0.509462804087566 0.453510025397457 0.660758357516286 0.656959894503617 0.667194441512103 0.591616858803692 0.617353390592882 0.646748977113842 0.463040306603853 0.58403316445743 0.645945743731579
"ARL4C" 0.370829000530233 0.46377413012175 0.285994469314214 0.357784000480774 0.38738912497007 0.302919958249855 0.306685845916093 0.859873313143267 0.870762508585224 0.670892836611506 0.197931427139645 0.1925826932453 0.275344638369267 0.333342360702326 0.225272912752993
"ARL6IP1" 1.53247915865064 1.89787673258765 1.76500445775174 1.82897634467453 1.18905157168288 1.42686125989547 1.27944109828834 1.63423730694837 1.78976014232817 1.40408718509352 1.4281927097534 1.41684827972347 1.45256376118209 1.52705801167306 1.68930556187622
"ARMC2" 0.293578307006164 0.201348765523081 0.252648006052728 0.119239178374751 0.173896820338261 0.183088937344959 0.6271211966941 0.479775928318292 0.223116697605747 0.534476950578697 0.30340509235765 0.456762433816185 0.464141700580976 0.456461386381129 0.516712176969722
"ARSD" 0.203996120661381 0.298031804999243 0.245128604963471 0.435056580835439 0.261338533483513 0.244286414371144 0.417950236384788 0.276747286586261 0.117833309699499 0.29498719336675 0.256402567589548 0.297245920934274 0.325686644748494 0.273200625697025 0.324699481692239
"ASAH1" 0.381008447566876 0.33014651024788 0.378613348041905 0.400072865575368 0.335734454662578 0.377640252685765 0.27967984179739 0.354012943029011 0.443497343946523 0.43910910662129 0.427871135886886 0.377638990450371 0.512756484755485 0.353433494094695 0.585368458529411
