"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"ARL6IP1" 1.55844738450437 1.83041736268334 1.48925279708684 1.54691764575534 2.33948566476275 1.70031456110309 1.89003438418625 1.84340172283815 1.63310325797192 1.58207492279462 1.69938214746343 1.73137908552929 1.79811583585609 1.74163232391325 1.76829830722879
"ARMC2" 0 0 0 0.114325690538057 0 0.156323849796591 0.0711292560549196 0.440353000792885 0.394790554838616 0.462825427640245 0.356532283530634 0.308659080411068 0.220789237146869 0.095450081703655 0.741144241516399
"ARSD" 1.13512298962844 0.466895464152245 0.90208144291226 1.18406829816193 0 0.476676965484081 0.492875295958152 0.773423676634321 0.417834815088698 0.712638566662074 0.399022778216037 0.427346157858935 0.699036304496699 0.568085443961848 1.05193591090368
"ASAH1" 0.697316335012476 0.405068590894192 0.0415581374651305 0.71972102347492 0.31845368748217 0.395593421727364 0.759827747557511 0.628431861851611 0.836796382329084 0.737122257763374 0.608437164152417 0.512727285229377 0.823800191213542 0.821393337294829 0.897565109736823
"ASCL1" 0 0 0 0 0 0.426732282453451 1.70067025418086 1.20798164745495 1.01481293066604 0.813764101234156 1.04182189285791 1.0767123877296 1.18624468502349 0.874267070792987 1.48937583666902
"ASF1B" 0 0 0 0.739470583141184 0 0.295967684205376 0.484745020844623 0.559629315748396 0.940895000397157 0.955687697390204 1.11302583190481 0.591109576938133 0.707204271158704 0.619686703705571 0.554085118828323
"ASPM" 0 1.82229207907005 0 0.477966774635565 0 0.36626547636189 0.548041750966065 0.882329508423755 0.993931555024281 1.03887251667128 0.672146328328568 0.67856370556051 0.939074856500281 0.616227927342372 0.927659121790886
"ASTN1" 0 0.896759504422705 0 0.793366003595818 0 0.409742009219036 0.738297161673789 0.805465449812352 0.657553090451748 0.391463100343834 0.583023147383584 0.640848074802496 0.997957325006502 0.334429258823451 0.491568683890957
"ASXL3" 0 0.553900532488141 0 0.63220768982482 0 0.802450696319446 0.166954401025052 0.693214705883985 0.732811969475381 0.711443770370479 0.459071688139355 0.0179635108164444 0.48214449632944 0.429642536437784 0
"ATF3" 0 0 0.0722173731631847 0.320919839850375 0 0.253713344588364 0 0.549951611640511 0.932233043938874 0.88030258247804 0.497655678869993 0.624382168762433 1.68905073787681 0.510379761752585 0.932341506606728
"ATG7" 0.0251039123093427 0.286111206078951 0 1.05410970365179 0 0.186661610879519 0.280936038129476 0.672156894067392 0.47529110871398 0.515321858506319 0.427540199590723 0.379834207951605 0.197134416985289 0.287726509778652 0.459820119970109
"ATP11A" 0.984641889197527 0.484237866450373 0 1.35984987021275 0 0.336566482065568 0.288074220093285 0.692078447954072 0.581432369364354 0.941835231362711 0.480552415282392 0.555872912676607 1.33250073526994 0.645072099002273 1.06884583437265
"ATP1B1" 0 0.909592599489855 0.0415581374651305 0.832953740502189 0 1.0722240523228 1.22405388573726 1.12568314472376 0.757266431541531 0.641709240864043 0.739453409779638 0.944079358487058 0.937427842161937 1.03717543879307 0.805430525230475
"ATP6V0A2" 0.208286127985942 0.0278190334670365 0 0.625261670583239 0 0.0891963852707285 0.624316452139937 0.664490372690499 0.580153623137541 0.460046081881091 0.15144968796335 0.334132865685786 0.0217792095225623 0.305949814101964 0.486066067807302
"ATRNL1" 0 0.927063117112282 0 0.819724746842373 1.05612213269545 0.461471340241194 1.22535404547312 0.890315153413777 0.735445871956511 0.59296254634451 0.463950106684278 0.557099804229161 0.469814766683596 0.24252491746007 0.739074511854573
"ATXN7L3B" 0.567798394944341 0.839269380135583 1.29376826815015 0.725967184879031 1.05612213269545 0.615566066283395 1.21011737808299 0.838892773409943 0.649194708558135 0.589885525619496 0.845233199952962 0.704087983627198 0.604520133654746 0.674823822174474 0.635150329039551
"AURKB" 0.0739565745953418 0.737276823373496 0 0.646575850068356 0.31845368748217 0.230273100355783 0.0314168418056387 0 0.582915920937976 0.301163805985145 0 0 0.589631489611926 0.0357893886095321 0.632011767882538
"AXL" 0.285917107723679 0.411042950686032 1.47140953615944 0.768951678614521 0 0.469057015545886 0.997956420719262 0.380515097879101 0.462065160004937 0.35431533810265 0.38785743008372 0.480056860908618 0.284963238204576 0.583539341335995 0.70401780732208
"B2M" 1.78261055345182 2.11984960672413 1.63844959245737 2.62767541876221 3.29129307190736 3.66947613256579 3.68292664263164 3.61185195171904 3.33001056904042 2.89238984373801 2.98186463375592 3.0117825952241 3.29947882079366 2.79261214465379 3.84630492526026
"BAG3" 0.749713430263598 0.678911586479465 0 0.0313652071900724 0 0.305952998066767 1.3991208401277 0.486472863583733 0.677274000299726 0.499480258114119 0.353733295403291 0.298189212543295 0.746220918372796 0.411776991898772 0.538817605783547
"BAG5" 0 0.852439643403511 1.18146587643505 0.688111752547234 1.38636923830452 0.644685647827382 0.917771342905593 0.696562954262246 0.666917347315382 0.55834816125793 0.527336017804501 0.434979258841084 0.7202609814087 0.576628860164308 0.699054222446249
"BASP1" 2.19949272088939 0.62409431348834 1.07720329243879 1.02467354326226 0.31845368748217 0.423006453089002 1.5335235612311 0.315600812233679 0.55813572182995 1.03210886993887 0.489239355203775 0.763618629913401 0.775445149922442 0.761491233071841 1.22221545334752
"BAZ1A" 1.69357178773195 0.764865324365995 0 0.28707343967175 1.28793692763729 0.450067166582541 0.869074679480081 1.23506436820748 0.972351144116957 0.716031885608468 0.485764707078737 0.632409055900657 1.01926063144216 0.750336271594011 0.725637681119261
"BAZ2B" 1.60725918039429 1.56482879322718 0 1.33573934230531 0.31845368748217 0.936026457702418 1.30692862255732 1.35881185556478 1.17050631040151 1.07870997298701 0.845895153296167 1.00777980715884 0.94926777257814 1.38484364628006 1.46768234374546
"BCAR3" 0 0.359215128311763 0 0.320604831153106 1.63420844197638 0.59642320587983 1.25122350402359 0.801083154281728 0.731521891685962 0.318752478952924 0.573498302053917 0.939619228463435 1.21003144054777 0.879800810594528 0.105698555670402
"BCAT1" 0.0251039123093427 0.743020549435049 1.05388929018967 1.27957791986647 0 0.714628976915287 1.04246458582593 1.03722405963562 0.886150448752332 0.969905902822697 0.867717179178476 0.877341598317513 1.11479615748722 1.35148815852657 0.897833920961081
"BCL3" 0.298138406510809 0 0 0 0 0.50739656753039 1.91827495847835 0.261729243053921 0.189232124913056 0.187228290746116 0.812144071072201 0.495218772630173 0 0 0
"BEND2" 0 0 0 0 0 0.23184147542651 0.650027234540109 0.458539082439121 0.865172251087423 0.896488198141421 0.702095795530179 0.530298816297581 1.19013160787975 0.494027845613682 0.490946279263791
"BEND5" 0.918438792051762 0.368795539200596 0.871135910573729 1.21453182005278 0 0.530486668240504 1.11457479831576 0.853767591217865 0.976233551802118 0.597561207825902 0.573179247268806 0.553043485503812 0.0180582907564972 0.419398814493569 0.562446641786769
"BEX1" 0 2.23936298478098 1.71849462034201 1.84840453243085 0.559672860583319 1.85893809268471 2.12437863525774 2.10310714660304 1.35263150724635 1.61546327778561 1.70943739896352 1.80321973094856 1.74797412580534 2.26001281943591 1.07129280323133
"BEX2" 0.0251039123093427 0.852865204938362 0 1.3085060110032 0.559672860583319 0.752066936094162 1.15647970478637 0.814787636175289 0.671834553230961 0.67759088194191 1.21432057817153 0.70301371885404 0.864878256630161 0.791023982827513 0.558932508411734
"BHLHE41" 0 1.2020486038139 0.78466856156451 1.66042176256334 0 0.53727189510699 1.24808115435292 1.04132648590638 0.643334036749919 0.501842941921022 0.660893578024515 0.748626654843382 0.589866009401364 0.786700484064573 1.29249503913837
"BICD1" 0 0.711812704934829 1.27201483014103 1.15659680405448 0 0.576274802148629 1.01587689941891 1.02139734253906 0.637778704134807 1.00085980023018 0.591714009718084 0.781142038991885 0 1.03800028946053 0.885505922919807
"BIRC3" 0 0 0 0 0 0.810578015058946 1.22524209642171 1.11125565958433 1.03280129487058 0.956115216275884 1.52076348932947 1.04446902162164 0.530776028666296 0.75340354865876 1.00650848831851
"BLVRB" 0 0.454899931356072 0 0.596901829267168 0.31845368748217 0.394857549626096 1.00039613403036 1.02716978105565 0.905750605040581 0.451283698535593 0.583593166482938 1.06453938384388 1.07551423401843 0.571263534136221 1.19893985769794
